,0
0,http://www.ilga.gov/senate/Senator.asp?GA=101&MemberID=2664
1,http://www.ilga.gov/senate/Senator.asp?GA=101&MemberID=2673
2,http://www.ilga.gov/senate/Senator.asp?GA=101&MemberID=2608
3,http://www.ilga.gov/senate/Senator.asp?GA=101&MemberID=2721
4,http://www.ilga.gov/senate/Senator.asp?GA=101&MemberID=2665
5,http://www.ilga.gov/senate/Senator.asp?GA=101&MemberID=2610
6,http://www.ilga.gov/senate/Senator.asp?GA=101&MemberID=2542
7,http://www.ilga.gov/senate/Senator.asp?GA=101&MemberID=2611
8,http://www.ilga.gov/senate/Senator.asp?GA=101&MemberID=2677
9,http://www.ilga.gov/senate/Senator.asp?GA=101&MemberID=2549
10,http://www.ilga.gov/senate/Senator.asp?GA=101&MemberID=2722
11,http://www.ilga.gov/senate/Senator.asp?GA=101&MemberID=2534
12,http://www.ilga.gov/senate/Senator.asp?GA=101&MemberID=2613
13,http://www.ilga.gov/senate/Senator.asp?GA=101&MemberID=2614
14,http://www.ilga.gov/senate/Senator.asp?GA=101&MemberID=2699
15,http://www.ilga.gov/senate/Senator.asp?GA=101&MemberID=2709
16,http://www.ilga.gov/senate/Senator.asp?GA=101&MemberID=2725
17,http://www.ilga.gov/senate/Senator.asp?GA=101&MemberID=2724
18,http://www.ilga.gov/senate/Senator.asp?GA=101&MemberID=2678
19,http://www.ilga.gov/senate/Senator.asp?GA=101&MemberID=2726
20,http://www.ilga.gov/senate/Senator.asp?GA=101&MemberID=2727
21,http://www.ilga.gov/senate/Senator.asp?GA=101&MemberID=2551
22,http://www.ilga.gov/senate/Senator.asp?GA=101&MemberID=2615
23,http://www.ilga.gov/senate/Senator.asp?GA=101&MemberID=2616
24,http://www.ilga.gov/senate/Senator.asp?GA=101&MemberID=2564
25,http://www.ilga.gov/senate/Senator.asp?GA=101&MemberID=2554
26,http://www.ilga.gov/senate/Senator.asp?GA=101&MemberID=2579
27,http://www.ilga.gov/senate/Senator.asp?GA=101&MemberID=2774
28,http://www.ilga.gov/senate/Senator.asp?GA=101&MemberID=2565
29,http://www.ilga.gov/senate/Senator.asp?GA=101&MemberID=2600
30,http://www.ilga.gov/senate/Senator.asp?GA=101&MemberID=2535
31,http://www.ilga.gov/senate/Senator.asp?GA=101&MemberID=2536
32,http://www.ilga.gov/senate/Senator.asp?GA=101&MemberID=2617
33,http://www.ilga.gov/senate/Senator.asp?GA=101&MemberID=2550
34,http://www.ilga.gov/senate/Senator.asp?GA=101&MemberID=2769
35,http://www.ilga.gov/senate/Senator.asp?GA=101&MemberID=2728
36,http://www.ilga.gov/senate/Senator.asp?GA=101&MemberID=2672
37,http://www.ilga.gov/senate/Senator.asp?GA=101&MemberID=2603
38,http://www.ilga.gov/senate/Senator.asp?GA=101&MemberID=2619
39,http://www.ilga.gov/senate/Senator.asp?GA=101&MemberID=2537
40,http://www.ilga.gov/senate/Senator.asp?GA=101&MemberID=2668
41,http://www.ilga.gov/senate/Senator.asp?GA=101&MemberID=2620
42,http://www.ilga.gov/senate/Senator.asp?GA=101&MemberID=2729
43,http://www.ilga.gov/senate/Senator.asp?GA=101&MemberID=2730
44,http://www.ilga.gov/senate/Senator.asp?GA=101&MemberID=2588
45,http://www.ilga.gov/senate/Senator.asp?GA=101&MemberID=2552
46,http://www.ilga.gov/senate/Senator.asp?GA=101&MemberID=2621
47,http://www.ilga.gov/senate/Senator.asp?GA=101&MemberID=2679
48,http://www.ilga.gov/senate/Senator.asp?GA=101&MemberID=2703
49,http://www.ilga.gov/senate/Senator.asp?GA=101&MemberID=2622
50,http://www.ilga.gov/senate/Senator.asp?GA=101&MemberID=2571
51,http://www.ilga.gov/senate/Senator.asp?GA=101&MemberID=2720
52,http://www.ilga.gov/senate/Senator.asp?GA=101&MemberID=2540
53,http://www.ilga.gov/senate/Senator.asp?GA=101&MemberID=2680
54,http://www.ilga.gov/senate/Senator.asp?GA=101&MemberID=2623
55,http://www.ilga.gov/senate/Senator.asp?GA=101&MemberID=2731
56,http://www.ilga.gov/senate/Senator.asp?GA=101&MemberID=2669
57,http://www.ilga.gov/senate/Senator.asp?GA=101&MemberID=2711
58,http://www.ilga.gov/senate/Senator.asp?GA=101&MemberID=2578
59,http://www.ilga.gov/senate/Senator.asp?GA=101&MemberID=2586
60,http://www.ilga.gov/senate/Senator.asp?GA=101&MemberID=2548
